name;description;category;notes;tags;mpn;manufacturing_status;manufacturer;manufacturer_product_url;needs_review;minamount;partUnit;storage_location;amount
W2PA;DEUTSCH DT wedgelock, 2-pin receptacle, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing.;Deutsch,DT,Wedgelock,2-pin,receptacle,A-key;W2PA;active;TE Connectivity;https://www.te.com/en/product-W2PA.html;0;10;pcs;Deutsch->Deutsch 2 Pos;0
W2PB;DEUTSCH DT wedgelock, 2-pin receptacle, B key, black;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing.;Deutsch,DT,Wedgelock,2-pin,receptacle,B-key;W2PB;active;TE Connectivity;https://www.te.com/en/product-W2PB.html;0;10;pcs;Deutsch->Deutsch 2 Pos;0
W2PC;DEUTSCH DT wedgelock, 2-pin receptacle, C key, green;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing.;Deutsch,DT,Wedgelock,2-pin,receptacle,C-key;W2PC;active;TE Connectivity;https://www.te.com/en/product-W2PC.html;0;10;pcs;Deutsch->Deutsch 2 Pos;0
W2PD;DEUTSCH DT wedgelock, 2-pin receptacle, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;Fits DT04 pin housing.;Deutsch,DT,Wedgelock,2-pin,receptacle,D-key;W2PD;active;TE Connectivity;https://www.te.com/en/product-W2PD.html;0;10;pcs;Deutsch->Deutsch 2 Pos;0
W2SA;DEUTSCH DT wedgelock, 2-pin plug, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing.;Deutsch,DT,Wedgelock,2-pin,plug,A-key;W2SA;active;TE Connectivity;https://www.te.com/en/product-W2SA.html;0;10;pcs;Deutsch->Deutsch 2 Pos;0
W2SB;DEUTSCH DT wedgelock, 2-pin plug, B key, black;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing.;Deutsch,DT,Wedgelock,2-pin,plug,B-key;W2SB;active;TE Connectivity;https://www.te.com/en/product-W2SB.html;0;10;pcs;Deutsch->Deutsch 2 Pos;0
W2SC;DEUTSCH DT wedgelock, 2-pin plug, C key, green;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing.;Deutsch,DT,Wedgelock,2-pin,plug,C-key;W2SC;active;TE Connectivity;https://www.te.com/en/product-W2SC.html;0;10;pcs;Deutsch->Deutsch 2 Pos;0
W2SD;DEUTSCH DT wedgelock, 2-pin plug, D key, brown;Automotive Connectors->Deutsch->Wedgelocks;Fits DT06 socket housing.;Deutsch,DT,Wedgelock,2-pin,plug,D-key;W2SD;active;TE Connectivity;https://www.te.com/en/product-W2SD.html;0;10;pcs;Deutsch->Deutsch 2 Pos;0
W3PA;DEUTSCH DT wedgelock, 3-pin receptacle, A key, gray;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,3-pin,receptacle,A-key,no-te-page;W3PA;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 3 Pos;0
W3PB;DEUTSCH DT wedgelock, 3-pin receptacle, B key, black;Automotive Connectors->Deutsch->Wedgelocks;"Fits DT04 pin housing. No TE product page. Key letter and color follow the DT 2-pin and 4-pin wedge code (A gray, B black, C green, D brown; plain receptacle green; plain plug orange). Confirm color and availability with the distributor.";Deutsch,DT,Wedgelock,3-pin,receptacle,B-key,no-te-page;W3PB;;TE Connectivity;;1;10;pcs;Deutsch->Deutsch 3 Pos;0
